SLIDE_NO,SLIDE_NAME,DISTRICT,LONGITUDE,LATITUDE,INITIATION,TRIGGERING,ACTIVITY,MATERIAL_T,GEOLOGY
WB/DAR/78A08/2015/98,Rainban area Singhamari near house of James Gurung,Darjeeling,88.251499999999993,27.061270000000000,2009,Rainfall,Suspended,Debris,Reddish brown sandy soil alongwith boulder
WB/DAR/78A08/2015/99,Singhamari,Darjeeling,88.252457000000007,27.058610999999999,2009,Rainfall,Suspended,Debris,Colluvium
WB/DAR/78A08/2015/1507,,Darjeeling,88.257695999999996,27.062377000000001,2014,Rainfall,Dormant,Debris,Slopewash
WB/DAR/78A08/2015/92,Santi Parbat near house of Basant Ghising,Darjeeling,88.257666999999998,27.062360999999999,2009,Rainfall,Active,Debris,Colluvium
WB/DAR/78A08/2015/82,"8 No. Village, Singrimtam G.P., Glenbern T.E",Darjeeling,88.260499999999993,27.056370000000001,2007,Rainfall,Active,Debris,Colluvium
WB/DAR/78A08/2015/1508,,Darjeeling,88.260462000000004,27.056260000000002,2014,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/91,"Ropeway, Bara Pattabong",Darjeeling,88.258471999999998,27.061000000000000,2009,Rainfall,Active,Debris,Insitu soil
WB/DAR/78A08/2015/40,Adjacent to Sundhara Gaon within Darjeeling Municipal jurisdiction.,Darjeeling,88.253000000000000,27.026000000000000,2006,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DARJ/78A08/2006/0337,,Darjeeling,88.253000000000000,27.026000000000000,2006,,Active,Debris,Granite Gneiss of Central Crystalline Gneissic Complex
WB/DARJ/78B01/2015/150,,Darjeeling,88.256749999999997,27.028333000000000,0,Rainfall,Active,Rock,
WB/DAR/78A08/2015/136,"Nimkidhara, (3km. from Ghum Railway station towards  Darjeeling",Darjeeling,88.256749999999997,27.028333000000000,2015,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DARJ/78B01/2015/62,,Darjeeling,88.256749999999997,27.028333000000000,0,,Active,Rock,
WB/DAR/78A08/2015/137,"Mangalpuri Gram ward no. 17, victoria road",Darjeeling,88.259083000000004,27.037027999999999,2015,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
