timestamp,rainfall_mm,grid_lat,grid_lon
2024-03-01,2.5644073,27.25,88.5
2024-03-02,0.10021142,27.25,88.5
2024-03-03,0.0,27.25,88.5
2024-03-04,0.0,27.25,88.5
2024-03-05,0.0,27.25,88.5
2024-03-06,0.0,27.25,88.5
2024-03-07,0.0,27.25,88.5
2024-03-08,0.0,27.25,88.5
2024-03-09,0.0,27.25,88.5
2024-03-10,0.0,27.25,88.5
2024-03-11,0.0,27.25,88.5
2024-03-12,0.0,27.25,88.5
2024-03-13,0.2588307,27.25,88.5
2024-03-14,0.0,27.25,88.5
2024-03-15,0.0,27.25,88.5
2024-03-16,0.0,27.25,88.5
2024-03-17,1.4085189,27.25,88.5
2024-03-18,0.0,27.25,88.5
2024-03-19,0.0,27.25,88.5
2024-03-20,1.8164786,27.25,88.5
2024-03-21,27.142107,27.25,88.5
2024-03-22,16.819412,27.25,88.5
2024-03-23,10.465499,27.25,88.5
2024-03-24,4.1707673,27.25,88.5
2024-03-25,0.11092745,27.25,88.5
2024-03-26,39.96001,27.25,88.5
2024-03-27,0.74134564,27.25,88.5
2024-03-28,2.1982908,27.25,88.5
2024-03-29,0.0,27.25,88.5
2024-03-30,0.0,27.25,88.5
2024-03-31,1.1839865,27.25,88.5
2024-04-01,5.5940104,27.25,88.5
2024-04-02,0.0,27.25,88.5
2024-04-03,0.0,27.25,88.5
2024-04-04,0.0,27.25,88.5
2024-04-05,0.0,27.25,88.5
2024-04-06,0.0,27.25,88.5
2024-04-07,0.0,27.25,88.5
2024-04-08,0.0,27.25,88.5
2024-04-09,1.1863348,27.25,88.5
2024-04-10,3.0451317,27.25,88.5
2024-04-11,1.4641792,27.25,88.5
2024-04-12,8.7267885,27.25,88.5
2024-04-13,0.0,27.25,88.5
2024-04-14,1.1500496,27.25,88.5
2024-04-15,5.62692,27.25,88.5
2024-04-16,4.6293592,27.25,88.5
2024-04-17,40.101833,27.25,88.5
2024-04-18,10.151342,27.25,88.5
2024-04-19,6.1159496,27.25,88.5
2024-04-20,1.5071119,27.25,88.5
2024-04-21,4.3375535,27.25,88.5
2024-04-22,0.0,27.25,88.5
2024-04-23,0.0,27.25,88.5
2024-04-24,0.0,27.25,88.5
2024-04-25,0.0,27.25,88.5
2024-04-26,0.0,27.25,88.5
2024-04-27,0.0,27.25,88.5
2024-04-28,0.0,27.25,88.5
2024-04-29,5.447879,27.25,88.5
2024-04-30,1.0830595,27.25,88.5
2024-05-01,0.0,27.25,88.5
2024-05-02,0.0,27.25,88.5
2024-05-03,0.0,27.25,88.5
2024-05-04,0.0,27.25,88.5
2024-05-05,0.9895728,27.25,88.5
2024-05-06,1.7081379,27.25,88.5
2024-05-07,19.697763,27.25,88.5
2024-05-08,2.7407048,27.25,88.5
2024-05-09,0.0,27.25,88.5
2024-05-10,0.27883056,27.25,88.5
2024-05-11,3.7869532,27.25,88.5
2024-05-12,15.456154,27.25,88.5
2024-05-13,9.79085,27.25,88.5
2024-05-14,0.477878,27.25,88.5
2024-05-15,2.2003896,27.25,88.5
2024-05-16,4.693331,27.25,88.5
2024-05-17,2.7009761,27.25,88.5
2024-05-18,14.001145,27.25,88.5
2024-05-19,35.363716,27.25,88.5
2024-05-20,11.416044,27.25,88.5
2024-05-21,11.722425,27.25,88.5
2024-05-22,1.2769121,27.25,88.5
